program Type,program Type url,Degree name,degree url,degree desc
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,Overview
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,CIRP International Foundation program provides the opportunity for enthusiastic students to start their bachelors degrees taking an expedient; economical and a recognized path within a period of one year.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,This program prepares students to obtain the essential knowledge and skills required to face the challenges and be successful in their degree programs. CIRP Foundation offers a range of electives that would shape your foundation to take up bachelor’s degrees in almost all fields of study such as Social sciences; Business; Arts and biological sciences.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,This program prepares students to obtain the essential knowledge and skills required to face the challenges and be successful in their degree programs. CIRP Foundation offers a range of electives that would shape your foundation to take up bachelor’s degrees in almost all fields of study such as Social sciences; Business; Arts and biological sciences.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,This foundation program is a one-year introductory course to a multi-year degree that the students are planning to follow. The subjects taught in this program; aim to give school leavers a basic introduction to the secondary higher education subject areas and provides a beneficial platforms for students who are interested in completing their education faster to pursue a career. 
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,International Foundation,https://researchandpsychology.com/Internationalfoundation,Upon completion of the program students are eligible to continue their studies at CIRP; progressing in to the Bachelors degree programs offered at CIRP and also transfer the partner universities in UK;US and Australia through the progression agreements. 
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology,https://researchandpsychology.com/Dhepsychology,Overview
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology,https://researchandpsychology.com/Dhepsychology,This program is designed in order to provide the students with an in-depth knowledge in the core areas of psychology that is essential to continue their education or training in to core professions in the field of psychology.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology,https://researchandpsychology.com/Dhepsychology,For example for students planning to become clinical psychologists; completing this program and completing a BSc (Hons) in psychology is a must.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology,https://researchandpsychology.com/Dhepsychology,Further the DHEP is aimed at equipping the students with a range of transferrable skills that could be applied in many fields; especially in understanding; predicting and influencing humans.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology & Business,https://researchandpsychology.com/DHEpsychologyandbusiness,Overview
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology & Business,https://researchandpsychology.com/DHEpsychologyandbusiness,The need for psychological insights or in other words the need to understand human behavior in the corporate world is immense; owing to the necessity of skills in effective communication; leading and managing people; selecting correct people for work and motivating employees to achieve organizational goals.
undergraduate,https://researchandpsychology.com/Academic/index/#anch1,DHE in Psychology & Business,https://researchandpsychology.com/DHEpsychologyandbusiness,This program equally concentrates on both areas; business and psychology with the aim of producing a graduate who would apply skills and knowledge in psychology to achieve success in business. 
